PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1989,319031933,0.8141119,0.013447085,-0.5478734,0.1920537,0.3123522,-0.34367046,0.08880997
1990,319048600,0.809958,0.013710079,-0.5549758,0.18918546,0.46905088,-0.85911155,-0.04028225
1991,319065267,0.8054487,0.015475158,-0.5618135,0.18811569,0.3211975,-1.080424,0.32470036
1992,319081934,0.8007116,0.019078882,-0.5684847,0.18796623,0.21138872,-0.69353116,0.39016247
1993,319098601,0.79578304,0.02393249,-0.575106,0.18819861,0.1217788,-0.10860656,0.043771744
1994,319115268,0.7908764,0.02948738,-0.5815184,0.18838911,0.21810439,0.59872323,-0.3288908
1995,319131935,0.7865581,0.033593845,-0.58738565,0.18757609,-0.071907245,-0.23021448,-0.021755219
1996,319148602,0.78231955,0.03649074,-0.59321284,0.18641889,0.10814719,-0.20403284,-0.061580658
1997,319165269,0.778208,0.039360285,-0.5987244,0.18542086,0.4349236,-0.8539441,-0.058467865
1998,319181936,0.7741783,0.042494196,-0.60390085,0.18481089,0.041340955,-1.1488798,0.079805374
1999,319198603,0.7703085,0.045680597,-0.60850877,0.18510589,-0.22941594,-0.9865884,0.14001751
2000,319215270,0.76610744,0.048492767,-0.61338544,0.18572941,-0.4310872,-0.71656644,0.4199419
2001,319231937,0.7613857,0.05201496,-0.6186475,0.18673615,0.07966628,-0.09842558,-0.00293541
2002,319248604,0.75696313,0.05685342,-0.62288445,0.1892051,0.4686566,0.31131017,-0.11266422
2003,319265271,0.7536185,0.060376745,-0.6261414,0.1907079,0.21546648,0.2403413,0.35728264
2004,319281938,0.7505592,0.06260418,-0.6293998,0.19132808,-0.44954982,-0.03251337,0.32933998
2005,319298605,0.746858,0.06502908,-0.6333413,0.19199462,-0.1827737,0.21193258,0.024437904
2006,319315272,0.74306124,0.06766451,-0.6372652,0.19283022,0.19778572,0.11277877,-0.035215378
2007,319331939,0.7397192,0.06989268,-0.64064735,0.19367649,-0.12157987,-0.21941292,0.12497902
2008,319348606,0.7367081,0.07191027,-0.64363277,0.19451506,-0.11807832,-0.1819525,0.432271
2009,319365273,0.733933,0.07338976,-0.64645016,0.1951092,-0.22385001,-0.5617191,0.44059277
2010,319381940,0.73098314,0.07454529,-0.6494958,0.1956295,-0.11568226,-0.524223,0.19830418
2011,319398607,0.7277053,0.075957336,-0.6525865,0.19701597,0.33406425,-0.32901105,0.06755352
2012,319415274,0.72461265,0.07831233,-0.6549599,0.19959979,0.302738,-0.032216877,0.16813183
2013,319431941,0.72186327,0.08059269,-0.6569688,0.20203762,-0.15984708,0.12530689,0.30084515
2014,319448608,0.71918267,0.08260437,-0.65917486,0.2035934,-0.00318506,0.16597514,0.32411766
2015,319465275,0.71652424,0.08434585,-0.6615432,0.20456895,0.23642306,0.12406986,0.3409233
2016,319481942,0.7140114,0.086274534,-0.6637057,0.20554388,0.5158639,0.097053126,0.31360626
2017,319498609,0.7118008,0.08784942,-0.6655825,0.206473,0.32101825,-0.016340697,0.26182175
2018,319515276,0.70950073,0.089141764,-0.66752505,0.20756099,0.3218658,0.032666195,0.15086555
2019,319531943,0.70726055,0.09007217,-0.6694651,0.20855422,0.13979305,-0.16219145,0.12908363
2020,319548610,0.7050086,0.090881154,-0.67155004,0.20912424,0.07961621,0.22085331,0.18955803
2021,319565277,0.7030873,0.09150754,-0.67344236,0.2092342,-0.042748194,0.23133188,0.3263111
2022,319581944,0.7017448,0.09102549,-0.6752408,0.20815255,-0.11807966,0.027263775,0.38518333
2023,319598611,0.7005577,0.09040798,-0.6769784,0.20677198,0.026262773,-0.14746659,0.32662582
2024,319615278,0.6996106,0.09012209,-0.67826533,0.20588452,0.14460394,-0.31342065,0.1741209
2025,319631945,0.6991275,0.09000705,-0.6789164,0.2054285,-0.04763061,-0.4103435,0.21475124
2026,319648612,0.6990171,0.08926086,-0.6793862,0.20457458,-0.37118885,-0.54659986,0.32551193
2027,319665279,0.6984797,0.08864461,-0.6802825,0.20369753,-0.2223346,-0.21496263,0.3504429
2028,319681946,0.6981296,0.088417694,-0.68081677,0.2032116,0.19204949,-0.03804548,0.18457985
2029,319698613,0.6980796,0.08832496,-0.6808825,0.20320325,0.2939602,-0.057801846,0.24033546
2030,319715280,0.69830745,0.08815338,-0.6807201,0.20303845,0.036783975,-0.38994324,0.30204678
2031,319731947,0.6983781,0.08805176,-0.68069607,0.20292023,0.03933828,-0.40785396,0.25363255
2032,319748614,0.6980938,0.08877181,-0.6807285,0.2034755,0.3116544,0.15177949,0.14459896
2033,319765281,0.69785684,0.089513525,-0.68063384,0.20427845,0.47374645,0.6046463,0.1704216
2034,319781948,0.69786334,0.08984998,-0.6804934,0.20457605,0.50259393,0.38704643,0.26524258
2035,319798615,0.69781876,0.08995632,-0.68054056,0.20452404,0.33955374,0.07874914,0.2637291
2036,319815282,0.69755167,0.09021328,-0.6807771,0.20453581,0.40261433,0.01811254,0.10996151
2037,319831949,0.6973057,0.09060071,-0.6809038,0.20478125,0.2995887,0.04489956,0.15361118
2038,319848616,0.6972517,0.09069184,-0.6809247,0.2048548,0.076227754,0.00495003,0.27405167
2039,319865283,0.6973541,0.090518035,-0.6809311,0.20456132,-0.17334771,-0.09787984,0.1979971
2040,319881950,0.69742537,0.09012017,-0.68104225,0.20412381,-0.26241717,-0.0581108,0.22155571
2041,319898617,0.69742596,0.08996685,-0.6811727,0.20375443,0.06040348,0.13355787,0.18521595
2042,319915284,0.6975848,0.09002443,-0.68105346,0.20358363,0.115900405,0.18888247,0.18539906
2043,319931951,0.6978753,0.08966699,-0.6809723,0.20301613,-0.09036584,-0.04813357,0.15559578
2044,319948618,0.6980828,0.08924983,-0.6809798,0.20246108,-0.074205406,-0.13088042,0.20908833
