PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
489,2351726031,177.5182037,-52.5580368,-21.88088036,0.10603219,0.6155971,0.34140682
490,2351742698,177.6585999,-52.91002655,-21.86883545,0.027851222,0.63210154,0.49017525
491,2351759365,177.798111,-53.27859116,-21.73600197,-0.31517598,0.50292087,0.14482689
492,2351776032,177.8740845,-53.63735962,-21.54843521,-0.29944208,0.47322822,0.14054394
493,2351792699,177.8468781,-54.01531601,-21.38589287,-0.076784626,0.48818377,0.5646763
494,2351809366,177.7855682,-54.45119476,-21.22948837,-0.12448448,-0.14285976,0.81339455
495,2351826033,177.6716003,-54.97282791,-21.01259995,-1.0018349,-0.24297613,0.74701595
496,2351842700,177.32901,-55.51148605,-20.73547173,-1.2084556,0.10552337,0.2812147
497,2351859367,176.8745728,-56.0459938,-20.47392654,-0.66628647,0.3502439,0.16116047
498,2351876034,176.5970764,-56.61787415,-20.32917404,-0.40393513,0.34151182,0.71149063
499,2351892701,176.5962982,-57.27770233,-20.3210907,-0.17638008,-0.20117529,1.0840883
500,2351909368,176.7191315,-58.07815933,-20.30413437,-0.71782714,-0.5120787,0.9396057
501,2351926035,176.7035217,-58.91334534,-20.15854836,-1.4818491,0.23920725,-0.0546484
502,2351942702,176.6681824,-59.68432617,-20.01586914,-1.2008646,0.7068081,-0.16444016
503,2351959369,176.7667847,-60.48570251,-19.96507072,-0.6353089,0.57497984,0.4587803
504,2351976036,177.0765686,-61.39490509,-20.00581932,-0.44245014,0.4361692,0.8752413
505,2351992703,177.7062531,-62.42031479,-20.16929245,-0.6585157,-0.31895086,1.1424856
506,2352009370,178.3925323,-63.59301758,-20.45473099,-1.038132,-1.2327198,1.3071423
507,2352026037,178.7136688,-64.88230896,-20.77003288,-2.4571471,-0.7398974,0.41862488
508,2352042704,178.9633026,-66.1434021,-21.29489708,-2.9360695,-1.18E-04,-0.25819397
509,2352059371,179.4269104,-67.34133911,-22.1803093,-1.8918047,0.27114743,-0.15231228
510,2352076038,-179.7498016,-68.60610199,-23.3766346,-0.59470874,0.48246595,0.1752367
511,2352092705,-178.3173981,-70.05323792,-24.94297409,0.13929853,0.41341913,0.57579994
512,2352109372,-176.2857971,-71.63285828,-26.96611023,-0.46393034,0.267901,0.93537235
513,2352126039,-173.9750366,-73.28878021,-29.28160858,-1.307297,0.23756136,-0.32384396
514,2352142706,-171.6947784,-74.8552475,-31.66817284,-0.9167226,1.0561727,-1.9804182
515,2352159373,-169.3054657,-76.20045471,-34.15275192,0.22462147,1.2981963,-2.0462208
516,2352176040,-166.3438568,-77.42780304,-37.01852036,0.8126823,0.6890999,-0.98802376
517,2352192707,-162.4876404,-78.68453979,-40.52473831,1.0287077,-0.38834018,-0.55284214
518,2352209374,-157.8766022,-79.96903229,-44.84843826,0.95376915,-0.83025074,-0.6680374
519,2352226041,-152.9011688,-81.16687012,-49.84297943,1.8745744,-0.95174116,-1.1522493
520,2352242708,-147.8204041,-82.15237427,-55.18612289,3.151767,-0.13267188,-1.6112194
521,2352259375,-143.160553,-82.78833771,-59.95399475,3.704208,-0.29675865,-1.4205303
522,2352276042,-138.7923279,-83.16671753,-64.12100983,3.0688682,-0.7165408,-0.28161526
523,2352292709,-134.4448395,-83.48175812,-68.07004547,1.8607013,-0.75723815,0.42731953
524,2352309376,-130.2563019,-83.80891418,-72.11782837,0.9707913,-1.1762209,0.054068565
525,2352326043,-126.9921951,-84.03961182,-75.55714417,0.8393152,-1.1117767,-0.2471981
526,2352342710,-125.1891861,-84.119133,-77.5814743,1.367364,-0.3375767,0.16013432
527,2352359377,-124.4530029,-84.12710571,-78.23673248,1.8101786,0.37838265,0.67285633
528,2352376044,-123.8287659,-84.15239716,-78.39486694,1.8179903,0.43818903,0.5274582
529,2352392711,-123.250206,-84.16497803,-78.31572723,1.3054496,-0.23035882,-0.14931679
530,2352409378,-123.0653152,-84.13867188,-77.98219299,0.16924384,-0.59165114,-0.46488762
531,2352426045,-123.3643265,-84.07176208,-77.33404541,-0.80012083,-0.6674052,-0.16675568
532,2352442712,-123.5516205,-84.01194763,-77.112854,-0.8951646,-0.7351259,0.26019478
533,2352459379,-123.178772,-83.96733093,-77.83600616,-0.8395203,-0.60454917,0.29672146
534,2352476046,-122.5404282,-83.92697906,-79.00474548,-0.4113012,-0.17683211,0.11945057
535,2352492713,-121.9744339,-83.89286041,-80.06974792,0.18359657,0.38813546,0.0822916
536,2352509380,-121.5981216,-83.87158203,-80.75343323,0.54535073,0.71700233,0.18328571
