PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1272,1229207230,8.502977371,-71.18112183,159.4820099,0.16974106,0.6337322,-0.28041363
1273,1229223897,9.889439583,-69.93946075,159.4375153,-0.18142787,-0.21611325,-0.61006355
1274,1229240564,11.40612984,-68.80200195,159.2794952,-0.5644456,-0.24754825,-0.5864544
1275,1229257231,12.83992577,-67.59409332,159.0825043,-0.8441689,0.1454334,-0.55399513
1276,1229273898,14.03136063,-66.298172,158.9975586,0.24777135,0.22329344,0.033010483
1277,1229290565,15.04631138,-64.98159027,159.0468597,0.36431393,0.023773983,0.1849184
1278,1229307232,15.96192551,-63.55184937,159.0785522,-0.41410673,-0.20129158,-0.14795208
1279,1229323899,16.92376328,-62.00873947,158.944931,-0.5839049,-1.2384348,-0.84560966
1280,1229340566,17.72274208,-60.3495636,158.7633667,0.25360954,-2.2642095,-0.7515898
1281,1229357233,18.2920208,-58.55336761,158.5967407,0.35953185,-2.1056852,-0.9719944
1282,1229373900,18.46455002,-56.77477264,158.4077759,0.33802772,-1.73413,-1.4644241
1283,1229390567,18.31853676,-55.12646484,158.2407532,0.8320149,-1.6757834,-1.286212
1284,1229407234,17.92827606,-53.58808899,158.2512054,0.6929119,-1.7386116,-0.85370445
1285,1229423901,17.39518738,-51.95927429,158.5506134,0.03312184,-1.6374345,-0.5271492
1286,1229440568,16.90629005,-50.22651291,158.922699,-0.70414805,-1.4684947,-0.7691488
1287,1229457235,16.62041473,-48.60006714,159.0845337,-0.077561736,-0.82901144,-0.84735775
1288,1229473902,16.394804,-47.07663727,158.9614258,-0.6772063,0.72814757,-1.3284826
1289,1229490569,16.07184219,-45.41626358,158.7362518,-0.29225826,2.035355,-0.49347115
1290,1229507236,15.92615223,-43.70773697,158.5070648,-0.4649179,2.0994947,0.33943653
